imdb;year;budget;domgross;intgross;budget_2013;domgross_2013;intgross_2013;bechdel
tt0071562;1974;0,013;0,0573;0,0573;0,061408439;0,270669505;0,270669505;1
tt0084516;1982;0,0107;0,074706019;0,121706019;0,025821968;0,180285645;0,293709241;1
tt0800241;2008;0,015;0,002203641;0,006379575;0,016233845;0,002384904;0,006904335;1
tt1625346;2011;0,012;0,016311571;0,022750356;0,012428289;0,016893744;0,023562334;1
tt0190590;2000;0,026;0,045506619;0,075763814;0,035175618;0,061566286;0,102501499;0
tt1232207;2009;0,02;0,014363397;0,019121531;0,021714632;0,015594794;0,02076085;0
tt0449088;2007;0,3;0,309420425;0,960996492;0,337063045;0,347647302;1,079721346;1
tt0875034;2009;0,08;0,019676965;0,053508858;0,086858528;0,021363903;0,058096258;0
tt0369994;2005;0,002;0,002072645;0,002077844;0,002386066;0,002472734;0,002478937;1
tt0283139;2002;0,016;0,01635777;0,02165777;0,020722867;0,021186244;0,028050694;1
tt0077713;1978;0,00175;0,000093051;0,001278471;0,006248735;0,000332258;0,004565044;0
tt0088846;1985;0,015;0,009929135;0,009929135;0,032475836;0,021497131;0,021497131;1
tt0164912;1999;0,105;0,140015224;0,2988;0,146838513;0,195805974;0,417860454;0
tt0372784;2005;0,15;0,205343774;0,373298774;0,178954969;0,244981925;0,445357804;0
tt0455824;2008;0,13;0,049554002;0,21508081;0,14069332;0,053630131;0,232772564;0
tt0102926;1991;0,02;0,130726716;0,275726716;0,034216807;0,223652543;0,471724395;1
tt0311648;1993;0,0003;0,002528664;0,00359057;0,000483738;0,004077367;0,005789647;1
tt0067800;1971;0,025;0,010324441;0,011253821;0,143862856;0,059412143;0,064760273;0
tt0120804;2002;0,035;0,040119709;0,103787401;0,045331273;0,051962213;0,134423285;1
tt0100403;1990;0,035;0,028317513;0,054768418;0,062404139;0,050489429;0,097650742;0
tt0078748;1979;0,009;0,08093063;0,20363063;0,028886103;0,259752278;0,653566146;1
tt0407304;2005;0,132;0,234280354;0,606836535;0,157480373;0,279504224;0,72397609;0
tt0469494;2007;0,025;0,040222514;0,077208711;0,028088587;0,045191743;0,086747344;0
tt0089469;1985;0,025;0,015502112;0,015502112;0,054126394;0,033562937;0,033562937;0
tt0086190;1983;0,0325;0,309205079;0,5727;0,076029041;0,723340482;1,339748672;0
tt0172495;2000;0,103;0,187683805;0,457683805;0,139349563;0,253918993;0,619204256;0
tt1837703;2013;0,026;0,003254172;0,006154172;0,026;0,003254172;0,006154172;0
tt0419706;2005;0,07;0,028212337;0,054612337;0,083512319;0,033658253;0,065154327;0
tt0115857;1996;0,055;0,021226204;0,060209334;0,081684071;0,031524414;0,089420791;0
tt1375670;2010;0,075;0,162001186;0,27222343;0,080117388;0,173054825;0,290797736;1
tt0250494;2001;0,018;0,096493426;0,141809235;0,023685227;0,126970485;0,186599109;1
tt0119229;1997;0,015;0,028084357;0,031070412;0,021768572;0,04075709;0,045090566;1
tt0127536;1998;0,025;0,030082699;0,082150642;0,035728308;0,042992157;0,117404137;1
tt0986263;2009;0,08;0,038577772;0,11966835;0,086858528;0,041885106;0,129927709;0
tt0112715;1995;0,05;0,081022333;0,152022333;0,076438973;0,123865278;0,23240862;0
tt0104348;1992;0,0125;0,010725228;0,010725228;0,02075434;0,017807603;0,017807603;0
tt1182345;2009;0,005;0,005010163;0,010676073;0,005428658;0,005439692;0,01159135;0
tt1778304;2011;0,005;0,104028807;0,207039844;0,005178454;0,107741677;0,214429259;1
tt1707386;2012;0,065;0,14880977;0,442022894;0,065951507;0,150988132;0,448493475;1
tt1217209;2012;0,185;0,237282182;0,554606532;0,187708135;0,240755653;0,562725176;1
tt0349825;2004;0,028;0,064378093;0,064474705;0,034529401;0,079390606;0,079509747;0
tt0367959;2007;0,05;0,027669725;0,080583311;0,056177174;0,031088139;0,090538854;0
tt1821694;2013;0,084;0,05326256;0,13716256;0,084;0,05326256;0,13716256;1
tt1622547;2011;0,028;0,037053924;0,040966716;0,028999342;0,038376408;0,04242885;0
tt0297884;2002;0,0135;0,015901849;0,029027914;0,017484919;0,020595744;0,037596351;1
